code,ts_code,name,industry,select_date,close,score,score_base,news_proxy_boost,volume_ratio,turnover,main_net_inflow,drawdown_from_high,market_style,regime,factor_volume_ratio,factor_drawdown,factor_inflow,factor_turnover,factor_sector,factor_pattern,factor_counter_trend,factor_wyckoff,factor_accel,pre_threshold_rank,candidate_rank,variant,selected
2555,002555.SZ,三七互娱,互联网,20230105,20.18,67.54845232902615,61.57432086702209,5.974131462004062,2.53,6.081,64774.0,3.352490421455936,momentum,BULL_TREND,66.95686924597926,97.8850574712644,100.0,65.0,59.74131462004062,0.0,0.0,65.44021808990634,0.0,1,1,A_recovered_proxy_vr1.2,True
2517,002517.SZ,恺英网络,互联网,20230105,7.6,67.34449650180053,61.37036503979647,5.974131462004062,2.08,5.7051,14730.19,2.187902187902187,momentum,BULL_TREND,52.82917641831838,100.0,100.0,65.0,59.74131462004062,30.0,0.0,67.47725653040588,0.0,2,2,A_recovered_proxy_vr1.2,True
600559,600559.SH,老白干酒,白酒,20230105,28.29,60.19519289798097,60.19519289798097,0.0,2.24,4.098,16114.92,3.315105946684902,momentum,BULL_TREND,58.17493661414398,98.1093643198906,100.0,65.0,50.97845752782739,53.333333333333336,0.0,55.45657801638165,0.0,3,3,A_recovered_proxy_vr1.2,True
2555,002555.SZ,三七互娱,互联网,20230105,20.18,61.57432086702209,61.57432086702209,0.0,2.53,6.081,64774.0,3.352490421455936,momentum,BULL_TREND,66.95686924597926,97.8850574712644,100.0,65.0,59.74131462004062,0.0,0.0,65.44021808990634,0.0,1,1,D_pure_quant_vr1.2,True
2517,002517.SZ,恺英网络,互联网,20230105,7.6,61.37036503979647,61.37036503979647,0.0,2.08,5.7051,14730.19,2.187902187902187,momentum,BULL_TREND,52.82917641831838,100.0,100.0,65.0,59.74131462004062,30.0,0.0,67.47725653040588,0.0,2,2,D_pure_quant_vr1.2,True
600559,600559.SH,老白干酒,白酒,20230105,28.29,60.19519289798097,60.19519289798097,0.0,2.24,4.098,16114.92,3.315105946684902,momentum,BULL_TREND,58.17493661414398,98.1093643198906,100.0,65.0,50.97845752782739,53.333333333333336,0.0,55.45657801638165,0.0,3,3,D_pure_quant_vr1.2,True
600559,600559.SH,老白干酒,白酒,20230105,28.29,49.99950139241549,49.99950139241549,0.0,2.24,4.098,16114.92,3.315105946684902,momentum,BULL_TREND,58.17493661414398,98.1093643198906,100.0,65.0,50.97845752782739,53.333333333333336,0.0,55.45657801638165,0.0,1,1,E_ablate_sector_vr1.2,True
2555,002555.SZ,三七互娱,互联网,20230105,20.18,49.62605794301396,49.62605794301396,0.0,2.53,6.081,64774.0,3.352490421455936,momentum,BULL_TREND,66.95686924597926,97.8850574712644,100.0,65.0,59.74131462004062,0.0,0.0,65.44021808990634,0.0,2,2,E_ablate_sector_vr1.2,True
2517,002517.SZ,恺英网络,互联网,20230105,7.6,49.42210211578835,49.42210211578835,0.0,2.08,5.7051,14730.19,2.187902187902187,momentum,BULL_TREND,52.82917641831838,100.0,100.0,65.0,59.74131462004062,30.0,0.0,67.47725653040588,0.0,3,3,E_ablate_sector_vr1.2,True
2555,002555.SZ,三七互娱,互联网,20230105,20.18,55.03029905803145,55.03029905803145,0.0,2.53,6.081,64774.0,3.352490421455936,momentum,BULL_TREND,66.95686924597926,97.8850574712644,100.0,65.0,59.74131462004062,0.0,0.0,65.44021808990634,0.0,1,1,E_ablate_wyckoff_vr1.2,True
600559,600559.SH,老白干酒,白酒,20230105,28.29,54.6495350963428,54.6495350963428,0.0,2.24,4.098,16114.92,3.315105946684902,momentum,BULL_TREND,58.17493661414398,98.1093643198906,100.0,65.0,50.97845752782739,53.333333333333336,0.0,55.45657801638165,0.0,2,2,E_ablate_wyckoff_vr1.2,True
2517,002517.SZ,恺英网络,互联网,20230105,7.6,54.62263938675588,54.62263938675588,0.0,2.08,5.7051,14730.19,2.187902187902187,momentum,BULL_TREND,52.82917641831838,100.0,100.0,65.0,59.74131462004062,30.0,0.0,67.47725653040588,0.0,3,3,E_ablate_wyckoff_vr1.2,True
2555,002555.SZ,三七互娱,互联网,20230105,20.18,61.57432086702209,61.57432086702209,0.0,2.53,6.081,64774.0,3.352490421455936,momentum,BULL_TREND,66.95686924597926,97.8850574712644,100.0,65.0,59.74131462004062,0.0,0.0,65.44021808990634,0.0,1,1,E_ablate_accel_vr1.2,True
2517,002517.SZ,恺英网络,互联网,20230105,7.6,61.37036503979647,61.37036503979647,0.0,2.08,5.7051,14730.19,2.187902187902187,momentum,BULL_TREND,52.82917641831838,100.0,100.0,65.0,59.74131462004062,30.0,0.0,67.47725653040588,0.0,2,2,E_ablate_accel_vr1.2,True
600559,600559.SH,老白干酒,白酒,20230105,28.29,60.19519289798097,60.19519289798097,0.0,2.24,4.098,16114.92,3.315105946684902,momentum,BULL_TREND,58.17493661414398,98.1093643198906,100.0,65.0,50.97845752782739,53.333333333333336,0.0,55.45657801638165,0.0,3,3,E_ablate_accel_vr1.2,True
