variant,period,horizon_days,signal_count,trade_count,matured_trade_count,win_rate_pct,avg_return_pct,median_return_pct,profit_loss_ratio,worst_mae_pct,cumulative_cohort_return_pct,max_equal_weight_drawdown_pct
E_ablate_sector_vr1.2,all,8,61,56,44,38.63636363636363,-0.02514816381691025,-1.4229438381687498,1.5780752727495087,-16.7713567839196,-8.39484456116153,-27.97416228686155
E_ablate_inflow_vr1.2,2026,3,47,44,40,40.0,0.048319897600198836,-1.0788629789303616,1.529997716363314,-14.054054054054054,6.891881581314396,-11.755071585172194
E_ablate_inflow_vr1.2,2026,5,47,44,36,55.55555555555556,2.5900499311123903,0.8015000872143796,1.8631342214809092,-13.583232567513093,40.669669165542686,-12.9538308688519
E_ablate_inflow_vr1.2,2026,8,47,44,35,45.714285714285715,1.9806953508446798,-0.11123470522802492,1.9878204317662427,-14.814814814814802,10.37331505351331,-22.34507250919774
E_ablate_inflow_vr1.2,all,3,47,44,40,40.0,0.048319897600198836,-1.0788629789303616,1.529997716363314,-14.054054054054054,6.891881581314396,-11.755071585172194
E_ablate_inflow_vr1.2,all,5,47,44,36,55.55555555555556,2.5900499311123903,0.8015000872143796,1.8631342214809092,-13.583232567513093,40.669669165542686,-12.9538308688519
E_ablate_inflow_vr1.2,all,8,47,44,35,45.714285714285715,1.9806953508446798,-0.11123470522802492,1.9878204317662427,-14.814814814814802,10.37331505351331,-22.34507250919774
E_ablate_wyckoff_vr1.2,2026,3,74,70,67,38.80597014925373,0.1121021610290889,-0.9358914365933502,1.6572786205330363,-15.212527964205814,14.669912689349163,-13.912947167818047
E_ablate_wyckoff_vr1.2,2026,5,74,70,61,45.90163934426229,-0.07564758965583779,-0.7794589637780791,1.1521078308643813,-17.059161401493395,2.2902956165896216,-22.041807233163023
E_ablate_wyckoff_vr1.2,2026,8,74,70,55,38.18181818181819,0.14622503908492923,-2.4281150159744413,1.6693533774092744,-26.73378076062639,-3.6092335844075896,-18.908331165356294
E_ablate_wyckoff_vr1.2,all,3,74,70,67,38.80597014925373,0.1121021610290889,-0.9358914365933502,1.6572786205330363,-15.212527964205814,14.669912689349163,-13.912947167818047
E_ablate_wyckoff_vr1.2,all,5,74,70,61,45.90163934426229,-0.07564758965583779,-0.7794589637780791,1.1521078308643813,-17.059161401493395,2.2902956165896216,-22.041807233163023
E_ablate_wyckoff_vr1.2,all,8,74,70,55,38.18181818181819,0.14622503908492923,-2.4281150159744413,1.6693533774092744,-26.73378076062639,-3.6092335844075896,-18.908331165356294
E_ablate_accel_vr1.2,2026,3,85,79,75,45.33333333333333,0.3015270729189019,-0.8595988538681931,1.3764205807973469,-15.212527964205814,15.938626629472452,-13.912947167818047
E_ablate_accel_vr1.2,2026,5,85,79,69,47.82608695652174,-0.10265026810535059,-0.7729468599033784,1.05720917980608,-17.059161401493395,-0.23844024458159474,-23.090159051964754
E_ablate_accel_vr1.2,2026,8,85,79,63,41.269841269841265,0.4555478072334051,-0.7407407407407418,1.5441074690382055,-26.73378076062639,-2.1671291031767126,-19.42095675951503
E_ablate_accel_vr1.2,all,3,85,79,75,45.33333333333333,0.3015270729189019,-0.8595988538681931,1.3764205807973469,-15.212527964205814,15.938626629472452,-13.912947167818047
E_ablate_accel_vr1.2,all,5,85,79,69,47.82608695652174,-0.10265026810535059,-0.7729468599033784,1.05720917980608,-17.059161401493395,-0.23844024458159474,-23.090159051964754
E_ablate_accel_vr1.2,all,8,85,79,63,41.269841269841265,0.4555478072334051,-0.7407407407407418,1.5441074690382055,-26.73378076062639,-2.1671291031767126,-19.42095675951503
